URI_1,URI_2,relationship_id
CHEBI_68293,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68293,44818723
CHEBI_68294,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68294,44818723
CHEBI_68295,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68295,44818723
CHEBI_68359,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68359,44818723
CHEBI_68360,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68360,44818723
CHEBI_68361,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68361,44818723
CHEBI_68362,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68362,44818723
CHEBI_68363,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68363,44818723
CHEBI_68364,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68364,44818723
CHEBI_68365,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68365,44818723
CHEBI_68366,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68366,44818723
CHEBI_68367,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68367,44818723
CHEBI_68368,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68368,44818723
CHEBI_68369,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68369,44818723
CHEBI_68370,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68370,44818723
CHEBI_68730,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68730,44818723
CHEBI_68805,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68805,44818723
CHEBI_68928,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68928,44818723
CHEBI_68929,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68929,44818723
CHEBI_68930,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68930,44818723
CHEBI_68932,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68932,44818723
CHEBI_68997,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68997,44818723
CHEBI_69106,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69106,44818723
CHEBI_69107,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69107,44818723
CHEBI_69108,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69108,44818723
CHEBI_69109,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69109,44818723
CHEBI_69110,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69110,44818723
CHEBI_69111,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69111,44818723
CHEBI_69112,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69112,44818723
CHEBI_69113,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69113,44818723
CHEBI_69114,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69114,44818723
CHEBI_69115,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69115,44818723
CHEBI_69116,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69116,44818723
CHEBI_69117,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69117,44818723
CHEBI_69118,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69118,44818723
CHEBI_69119,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69119,44818723
CHEBI_69121,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69121,44818723
CHEBI_69122,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69122,44818723
CHEBI_69123,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69123,44818723
CHEBI_69124,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69124,44818723
CHEBI_69125,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69125,44818723
CHEBI_69126,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69126,44818723
CHEBI_87327,CHEBI_18946,44818821
CHEBI_18946,CHEBI_87327,44818723
