URI_1,URI_2,relationship_id
CHEBI_33832,CHEBI_72695,44818821
CHEBI_72695,CHEBI_33832,44818723
CHEBI_72695,CHEBI_50860,44818821
CHEBI_50860,CHEBI_72695,44818723
CHEBI_38179,CHEBI_38179,44818821
CHEBI_38179,CHEBI_38179,44818723
CHEBI_38179,CHEBI_33833,44818821
CHEBI_33833,CHEBI_38179,44818723
CHEBI_33833,CHEBI_24532,44818821
CHEBI_24532,CHEBI_33833,44818723
CHEBI_24532,CHEBI_33832,44818821
CHEBI_33832,CHEBI_24532,44818723
CHEBI_33832,CHEBI_72695,44818821
CHEBI_72695,CHEBI_33832,44818723
CHEBI_38545,CHEBI_38545,44818821
CHEBI_38545,CHEBI_38545,44818723
CHEBI_38545,CHEBI_35972,44818821
CHEBI_35972,CHEBI_38545,44818723
CHEBI_35972,CHEBI_35868,44818821
CHEBI_35868,CHEBI_35972,44818723
CHEBI_35868,CHEBI_24669,44818821
CHEBI_24669,CHEBI_35868,44818723
CHEBI_24669,CHEBI_33575,44818821
CHEBI_33575,CHEBI_24669,44818723
CHEBI_38559,CHEBI_38559,44818821
CHEBI_38559,CHEBI_38559,44818723
CHEBI_38559,CHEBI_36074,44818821
CHEBI_36074,CHEBI_38559,44818723
CHEBI_36074,CHEBI_35137,44818821
CHEBI_35137,CHEBI_36074,44818723
CHEBI_35137,CHEBI_35136,44818821
CHEBI_35136,CHEBI_35137,44818723
CHEBI_35136,CHEBI_35134,44818821
CHEBI_35134,CHEBI_35136,44818723
CHEBI_38561,CHEBI_38561,44818821
CHEBI_38561,CHEBI_38561,44818723
CHEBI_38561,CHEBI_87635,44818821
CHEBI_87635,CHEBI_38561,44818723
CHEBI_87635,CHEBI_87631,44818821
CHEBI_87631,CHEBI_87635,44818723
CHEBI_87631,CHEBI_36963,44818821
CHEBI_36963,CHEBI_87631,44818723
CHEBI_36963,CHEBI_36962,44818821
CHEBI_36962,CHEBI_36963,44818723
CHEBI_38597,CHEBI_38597,44818821
CHEBI_38597,CHEBI_38597,44818723
CHEBI_38597,CHEBI_35727,44818821
CHEBI_35727,CHEBI_38597,44818723
CHEBI_35727,CHEBI_68452,44818821
CHEBI_68452,CHEBI_35727,44818723
CHEBI_68452,CHEBI_38179,44818821
CHEBI_38179,CHEBI_68452,44818723
CHEBI_38179,CHEBI_33833,44818821
CHEBI_33833,CHEBI_38179,44818723
CHEBI_39548,CHEBI_39548,44818821
CHEBI_39548,CHEBI_39548,44818723
CHEBI_39548,CHEBI_35972,44818821
CHEBI_35972,CHEBI_39548,44818723
CHEBI_35972,CHEBI_35868,44818821
CHEBI_35868,CHEBI_35972,44818723
CHEBI_35868,CHEBI_24669,44818821
CHEBI_24669,CHEBI_35868,44818723
CHEBI_24669,CHEBI_33575,44818821
CHEBI_33575,CHEBI_24669,44818723
CHEBI_40303,CHEBI_40303,44818821
CHEBI_40303,CHEBI_40303,44818723
CHEBI_40303,CHEBI_18946,44818821
CHEBI_18946,CHEBI_40303,44818723
CHEBI_18946,CHEBI_25000,44818821
